	Gene	Chr	Gene Start	Gene End	nSNPs	TopSNP	TopSNP Pos	TopSNP P-Value
8080	KIFC3	chr16	57828974	57837159	86	rs4255775	57846851.0	0.04781
8081	KIN	chr10	7803195	7816841	125	rs10508334	7805308.0	0.006521
8082	KIR2DL1	chr19	55281276	55295317	1	rs145178025	55273883.0	0.03225
8083	KIR2DL3	chr19	55249981	55295776	4	rs188056893	55269623.0	0.01958
8084	KIR2DL4	chr19	55315111	55325972	2	rs4806569	55330862.0	0.1625
8085	KIR2DS4	chr19	55344219	55358673	92	rs151277075	55363855.0	0.04809
8086	KIR3DL1	chr19	55327944	55342233	68	rs181940988	55344556.0	0.06303
8087	KIR3DL2	chr19	55361930	55378415	146	rs151277075	55363855.0	0.04809
8088	KIR3DL3	chr19	55235983	55248003	20	rs1325158	55226402.0	0.0003357
8089	KIRREL1	chr1	158056469	158070052	104	rs3768541	158060499.0	0.001825
8090	KIRREL2	chr19	36348007	36357491	55	rs12975169	36346546.0	0.03229
8091	KIRREL3	chr11	126306758	126310713	98	rs118100231	126318166.0	0.0002768
8092	KISS1	chr1	204159468	204165614	93	chr1_204151160_I	204151160.0	0.01357
8093	KISS1R	chr19	917502	920710	64	rs34967265	929741.0	0.1546
8094	KIT	chr4	55595457	55599567	50	rs62304360	55599429.0	0.04507
8095	KITLG	chr12	88912609	88974246	167	rs10858753	88910470.0	0.02492
8096	KIZ	chr20	21225108	21227256	38	rs76597836	21235286.0	1.647e-05
8097	KL	chr13	33590570	33638440	265	chr13_33607665_I	33607665.0	0.04831
8098	KLB	chr4	39408472	39453156	265	rs138485834	39419669.0	0.01462
8099	KLC1	chr14	104166258	104167881	54	rs4900592	104177098.0	9.771e-12
8100	KLC2	chr11	66029400	66030533	45	rs182499619	66035046.0	0.0001001
8101	KLC3	chr19	45848657	45854778	93	rs72750	45850366.0	0.02993
8102	KLC4	chr6	43041421	43042833	68	rs146188256	43034855.0	0.01486
8103	KLF1	chr19	12995236	12997995	47	rs118109255	13000039.0	0.0002582
8104	KLF2	chr19	16435650	16438071	100	rs115642275	16440845.0	0.004216
8105	KLF3	chr4	38665964	38682606	104	rs1000097	38692559.0	0.004482
8106	KLF4	chr9	110251269	110252763	61	rs10978885	110257762.0	0.04535
8107	KLF5	chr13	73649152	73649916	78	rs61966256	73649410.0	0.001075
8108	KLF6	chr10	3823999	3827375	96	rs17731	3821561.0	2.154e-06
8109	KLF7	chr2	207988621	207998861	108	rs74886467	208002279.0	0.02856
8110	KLF8	chrX	56259621	56311530	93	rs149578601	56257342.0	0.03015
8111	KLF9	chr9	72999502	73029540	122	chr9_73030565_I	73030565.0	0.06106
8112	KLF10	chr8	103661013	103666603	97	rs1434281	103671080.0	1.541e-05
8113	KLF11	chr2	10184371	10194963	105	rs147307671	10199296.0	0.01956
8114	KLF12	chr13	74387009	74569193	829	rs191963389	74482365.0	0.0003307
8115	KLF13	chr15	31685045	31696113	102	rs4389106	31677984.0	0.02813
8116	KLF15	chr3	126071517	126073128	43	rs73206851	126080150.0	0.07097
8117	KLF16	chr19	1854316	1862857	81	rs12610131	1855334.0	0.0002029
8118	KLF17	chr1	44584541	44596388	119	chr1_44595995_I	44595995.0	0.0006435
8119	KLHDC1	chr14	50159837	50195725	66	rs117693999	50178077.0	0.004185
8120	KLHDC2	chr14	50247123	50249636	23	rs140303864	50257778.0	0.06198
8121	KLHDC3	chr6	42984722	42989028	63	rs9296409	42989057.0	0.03567
8122	KLHDC4	chr16	87797090	87799567	82	rs4843268	87800958.0	0.0002643
8123	KLHDC7A	chr1	18807423	18812478	134	rs61760671	18806046.0	0.003255
8124	KLHDC7B	chr22	50986461	50989451	162	rs150330569	50985872.0	0.002797
8125	KLHDC8A	chr1	205313538	205325964	156	rs7530732	205321833.0	0.004592
8126	KLHDC8B	chr3	49212365	49213835	37	rs4367098	49219669.0	0.01016
8127	KLHDC9	chr1	161069297	161070136	53	rs144594735	161073218.0	0.02075
8128	KLHDC10	chr7	129756284	129757506	79	rs7781447	129752312.0	0.001188
8129	KLHL1	chr13	70275743	70681814	2197	rs299526	70655360.0	8.183e-06
8130	KLHL2	chr4	166130551	166184433	208	rs149054235	166187497.0	0.0002284
8131	KLHL3	chr5	137041738	137071547	68	rs79268871	137047157.0	0.0001555
8132	KLHL4	chrX	86772816	86924596	632	rs193193248	86856905.0	0.004418
8133	KLHL5	chr4	39104934	39128477	174	rs151161244	39124501.0	0.02266
8134	KLHL6	chr3	183237999	183262573	107	rs140164298	183235168.0	0.0689
8135	KLHL7	chr7	23212407	23213811	65	rs11770879	23208043.0	0.005812
8136	KLHL8	chr4	88140675	88161466	142	rs11736542	88136202.0	0.001868
8137	KLHL9	chr9	21331544	21335240	60	rs8729	21331119.0	0.0005072
8138	KLHL10	chr17	39994076	39998356	80	chr17_39993425_I	39993425.0	0.05762
8139	KLHL11	chr17	40009796	40021684	104	rs142674352	40030393.0	0.03044
8140	KLHL12	chr1	202878137	202897764	121	chr1_202899517_D	202899517.0	0.1465
8141	KLHL13	chrX	117054307	117162458	238	rs185805751	117053223.0	0.00228
8142	KLHL14	chr18	30349953	30352130	45	rs61737324	30350165.0	0.12
8143	KLHL15	chrX	24001836	24045303	180	chrX_24015871_I	24015871.0	3.209e-07
8144	KLHL17	chr1	898931	899544	36	rs4970445	893719.0	0.01022
8145	KLHL18	chr3	47324448	47328948	27	rs807935	47321669.0	0.04972
8146	KLHL20	chr1	173751050	173754651	28	rs7553539	173746659.0	9.368e-05
8147	KLHL21	chr1	6654140	6674667	89	rs14057	6683240.0	1.344e-05
8148	KLHL22	chr22	20843271	20845844	55	rs165798	20855286.0	0.002063
8149	KLHL23	chr2	170598002	170633499	337	rs186908766	170595459.0	0.01713
8150	KLHL24	chr3	183381888	183390272	104	rs830179	183380035.0	0.003995
8151	KLHL25	chr15	86303847	86338149	251	rs6496236	86343458.0	0.02694
8152	KLHL26	chr19	18755447	18778802	152	rs73923135	18758169.0	0.0001483
8153	KLHL28	chr14	45414994	45431393	70	rs75015514	45427310.0	0.005602
8154	KLHL29	chr2	23911654	23931481	204	rs4233702	23929181.0	0.007811
8155	KLHL30	chr2	239047362	239061588	135	rs11684091	239069080.0	0.0004505
8156	KLHL31	chr6	53516395	53520070	113	rs60969333	53511224.0	0.02361
8157	KLHL32	chr6	97512503	97562055	192	rs149436805	97566274.0	0.0007093
8158	KLHL33	chr14	20896969	20903801	150	rs1713428	20888180.0	0.0221
8159	KLHL34	chrX	21673608	21676448	33	rs139867333	21664131.0	0.01942
8160	KLHL35	chr11	75136550	75137884	38	rs1043638	75146384.0	0.02125
8161	KLHL36	chr16	84693144	84701292	133	rs12928590	84695490.0	0.004678
8162	KLHL38	chr8	124657766	124665190	138	rs72711231	124658203.0	0.01404
8163	KLHL40	chr3	42727010	42734036	59	rs114275297	42720645.0	0.004965
8164	KLHL41	chr2	170370771	170377517	76	rs6738934	170377737.0	0.0172
8165	KLHL42	chr12	27940567	27944859	48	rs143070721	27936825.0	0.08965
8166	KLK1	chr19	51322526	51324105	95	rs62113164	51329768.0	0.05686
8167	KLK2	chr19	51380699	51382144	99	chr19_51377468_I	51377468.0	0.005465
8168	KLK3	chr19	51360646	51363386	172	rs79413032	51353973.0	0.00442
8169	KLK4	chr19	51411245	51412638	93	rs268922	51422616.0	0.002754
8170	KLK5	chr19	51452005	51456198	92	rs62115183	51450351.0	0.016
8171	KLK6	chr19	51466722	51471371	72	rs148904561	51460515.0	0.02423
8172	KLK7	chr19	51485350	51487320	95	rs1275220	51487634.0	0.09231
8173	KLK8	chr19	51503640	51504859	92	rs11673588	51509158.0	0.06723
8174	KLK9	chr19	51506366	51512804	137	rs10423037	51520933.0	0.0623
8175	KLK10	chr19	51519252	51523431	91	rs10423037	51520933.0	0.0623
8176	KLK11	chr19	51527558	51529872	75	rs79377141	51538952.0	0.01215
8177	KLK12	chr19	51532410	51538148	103	rs79377141	51538952.0	0.01215
8178	KLK13	chr19	51562899	51568371	83	rs11671745	51552977.0	0.036
8179	KLK14	chr19	51581153	51587502	120	rs867191	51583616.0	0.03015
8180	KLK15	chr19	51330283	51336443	122	rs2560935	51334355.0	0.01151
8181	KLKB1	chr4	187172185	187173317	114	chr4_187172361_I	187172361.0	0.01024
8182	KLLN	chr10	89618917	89623194	38	rs142400921	89632742.0	0.01253
8183	KLRB1	chr12	9747146	9760482	185	rs117897866	9760327.0	0.006666
8184	KLRC1	chr12	10602590	10603893	82	rs138190928	10606646.0	0.03722
8185	KLRC2	chr12	10583618	10586505	69	rs146403123	10578501.0	0.1024
8186	KLRC3	chr12	10568182	10573149	61	rs142391952	10568613.0	0.02353
8187	KLRC4	chr12	10559982	10562356	61	rs142391952	10568613.0	0.02353
8188	KLRD1	chr12	10466092	10468236	46	rs112780531	10468425.0	0.003918
8189	KLRF1	chr12	9994409	9997591	74	rs118093189	10004456.0	0.02372
8190	KLRF2	chr12	10034087	10048432	136	rs11053496	10036013.0	0.001805
8191	KLRG1	chr12	9144665	9162041	104	rs1805715	9163634.0	0.0959
8192	KLRG2	chr7	139138083	139168409	206	rs142731257	139160091.0	0.01009
8193	KLRK1	chr12	10525783	10544473	123	rs192038985	10531521.0	0.02964
8194	KMO	chr1	241731934	241756761	119	rs604958	241744904.0	0.001683
8195	KMT2A	chr11	118390549	118393124	23	rs78020509	118384811.0	0.0003057
8196	KMT2B	chr19	36208920	36229779	107	rs107068	36204690.0	0.05726
8197	KMT2C	chr7	152007018	152009381	31	chr7_152001120_D	152001120.0	0.01042
8198	KMT2D	chr12	49448162	49453557	31	chr12_49463354_D	49463354.0	0.001047
8199	KMT2E	chr7	104749486	104751314	35	rs10953468	104741842.0	2.504e-08
8200	KMT5A	chr12	123875926	123889465	105	rs28642812	123893910.0	1.545e-09
8201	KMT5B	chr11	67957072	67981034	112	rs79614522	67962976.0	0.02923
8202	KMT5C	chr19	55857440	55858584	67	rs77629013	55868460.0	0.007503
8203	KNCN	chr1	47013099	47016887	75	rs61735709	47013431.0	0.00956
8204	KNDC1	chr10	134977690	134992653	176	rs189729064	134969959.0	0.001856
8205	KNG1	chr3	186435136	186461594	304	rs146455942	186446534.0	0.04132
8206	KNL1	chr15	40954770	40956102	56	rs146923519	40952623.0	0.05471
8207	KNOP1	chr16	19726120	19729453	52	rs79810083	19725410.0	5.452e-05
8208	KNSTRN	chr15	40682008	40684201	64	rs74380208	40685119.0	0.0262
8209	KNTC1	chr12	123104588	123110922	55	rs2173628	123097023.0	0.0004011
8210	KPNA1	chr3	122172756	122233753	244	rs76919727	122178603.0	0.007614
8211	KPNA2	chr17	66041583	66042745	70	rs9635755	66047376.0	0.01175
8212	KPNA3	chr13	50275345	50279888	84	rs4941654	50265923.0	0.003539
8213	KPNA4	chr3	160281996	160283359	45	rs74676712	160284736.0	0.05548
8214	KPNA5	chr6	117050725	117063029	59	rs12154090	117059600.0	0.007966
8215	KPNA6	chr1	32622462	32632897	40	rs114504726	32617080.0	0.02181
8216	KPNA7	chr7	98771196	98805129	283	rs12705053	98810339.0	0.15
8217	KPNB1	chr17	45757968	45761877	46	chr17_45755584_D	45755584.0	0.1242
8218	KPRP	chr1	152732036	152734528	53	rs112925366	152743749.0	0.02549
8219	KPTN	chr19	47984083	47987151	32	rs17271418	47985220.0	0.1401
8220	KRAS	chr12	25386752	25403863	140	rs61925870	25399000.0	0.02231
8221	KRBA1	chr7	149427129	149427787	59	rs11764151	149433148.0	0.02882
8222	KRBA2	chr17	8271972	8274858	51	rs146403872	8271374.0	0.0007107
8223	KRBOX1	chr3	42982684	42984281	32	rs865842	42977561.0	0.05645
8224	KRBOX4	chrX	46307667	46333029	130	rs191104989	46317241.0	0.0284
8225	KRCC1	chr2	88326723	88355248	121	rs111440721	88332296.0	0.04944
8226	KREMEN1	chr22	29538017	29550757	126	rs77063246	29554819.0	0.001266
8227	KREMEN2	chr16	3014521	3018349	83	rs7184777	3010510.0	0.005336
8228	KRI1	chr19	10671908	10676684	99	rs148172637	10681823.0	0.06459
8229	KRIT1	chr7	91874423	91875228	15	rs117704951	91876485.0	0.01692
8230	KRR1	chr12	75900299	75905416	74	rs74577953	75899667.0	0.09591
8231	KRT1	chr12	53069506	53071301	83	rs148630961	53063922.0	0.1035
8232	KRT2	chr12	53041991	53044456	90	rs147089842	53049089.0	0.06658
8233	KRT3	chr12	53183469	53189892	104	rs12312467	53184725.0	0.007135
8234	KRT4	chr12	53205229	53207400	112	rs4919746	53208408.0	0.05173
8235	KRT5	chr12	52913684	52914314	105	rs12426324	52904611.0	0.06554
8236	KRT6A	chr12	52884063	52885409	139	chr12_52879671_D	52879671.0	0.02482
8237	KRT6B	chr12	52840434	52845910	105	rs3858628	52835426.0	0.02527
8238	KRT6C	chr12	52863805	52865217	169	rs117030701	52865900.0	0.01849
8239	KRT7	chr12	52641701	52642709	76	rs117939606	52648829.0	0.01113
8240	KRT8	chr12	53342999	53343738	60	rs113518787	53350638.0	0.01722
8241	KRT9	chr17	39722355	39728305	53	rs71373424	39712662.0	0.02256
8242	KRT10	chr17	38974368	38978847	80	rs117904012	38971595.0	0.05832
8243	KRT12	chr17	39017554	39023462	90	chr17_39020306_D	39020306.0	0.01586
8244	KRT13	chr17	39659910	39660828	65	rs7222980	39653122.0	0.09827
8245	KRT14	chr17	39739500	39740723	66	rs117531465	39731823.0	0.1108
8246	KRT15	chr17	39673059	39678071	64	rs147930891	39676420.0	0.02828
8247	KRT16	chr17	39768794	39772151	63	rs148973574	39763059.0	0.04079
8248	KRT17	chr17	39779124	39780827	32	rs14253	39780771.0	0.1153
8249	KRT18	chr12	53345279	53346062	69	rs113518787	53350638.0	0.01722
8250	KRT19	chr17	39681229	39681924	52	rs147930891	39676420.0	0.02828
8251	KRT20	chr17	39038714	39041162	74	rs111253943	39038170.0	0.01382
8252	KRT23	chr17	39093083	39093886	121	rs138168269	39094038.0	0.04952
8253	KRT24	chr17	38854242	38860002	75	rs138744077	38847155.0	0.01323
8254	KRT25	chr17	38904272	38911584	76	rs117012381	38898358.0	0.01887
8255	KRT26	chr17	38922489	38928414	77	rs2109220	38930197.0	0.006351
8256	KRT27	chr17	38933059	38934272	66	rs67771170	38938557.0	0.002675
8257	KRT28	chr17	38948454	38956211	101	rs67771170	38938557.0	0.002675
8258	KRT31	chr17	39549975	39553844	62	rs79102083	39546611.0	0.02447
8259	KRT32	chr17	39616062	39623681	203	rs78331193	39609155.0	0.02712
8260	KRT33A	chr17	39502343	39507064	45	rs16966713	39506659.0	0.0214
8261	KRT33B	chr17	39519745	39526052	55	rs111628830	39523783.0	0.01962
8262	KRT34	chr17	39533901	39538655	52	rs3760345	39532255.0	0.02313
8263	KRT35	chr17	39632941	39637392	136	rs74499705	39640399.0	0.01542
8264	KRT36	chr17	39642387	39646116	92	rs74499705	39640399.0	0.01542
8265	KRT37	chr17	39577004	39580775	91	rs72828182	39578984.0	0.01448
8266	KRT38	chr17	39592697	39597173	138	rs76668163	39603580.0	0.02886
8267	KRT39	chr17	39114751	39116949	109	rs146437781	39125382.0	0.0171
8268	KRT40	chr17	39134133	39143387	245	rs146437781	39125382.0	0.0171
8269	KRT71	chr12	52937692	52946931	157	rs144312826	52948553.0	0.017
8270	KRT72	chr12	52992737	52995193	106	rs75624316	52994636.0	0.09774
8271	KRT73	chr12	53001920	53009116	110	rs666760	53009041.0	0.01461
8272	KRT74	chr12	52960782	52962294	139	rs79584768	52952085.0	0.02954
8273	KRT75	chr12	52817853	52828309	124	rs7969958	52809248.0	0.01388
8274	KRT76	chr12	53161938	53171129	125	rs7302738	53152672.0	0.06814
8275	KRT77	chr12	53086611	53089136	80	rs113213617	53092187.0	0.045
8276	KRT78	chr12	53239779	53241737	136	rs113346903	53231507.0	0.1045
8277	KRT79	chr12	53215527	53216924	76	rs117349910	53217567.0	0.03839
8278	KRT80	chr12	52563306	52579533	165	rs55829011	52579837.0	0.03574
8279	KRT81	chr12	52679696	52685318	119	rs2168761	52672886.0	0.01833
8280	KRT82	chr12	52787714	52800139	157	rs2857658	52792986.0	0.007668
8281	KRT83	chr12	52708084	52715182	160	chr12_52713199_D	52713199.0	0.0008099
8282	KRT84	chr12	52771595	52779436	161	rs11611951	52768859.0	0.006153
8283	KRT85	chr12	52756634	52758413	83	rs12831423	52750608.0	0.02641
8284	KRT86	chr12	52695648	52702947	144	rs2270266	52709981.0	0.0008399
8285	KRT222	chr17	38816409	38821433	55	chr17_38827344_I	38827344.0	0.02514
8286	KRTAP1-1	chr17	39196810	39197713	133	rs149188249	39197477.0	0.04966
8287	KRTAP1-3	chr17	39190141	39191107	123	rs12937940	39182422.0	0.0395
8288	KRTAP1-4	chr17	39185948	39186356	117	rs12937940	39182422.0	0.0395
8289	KRTAP1-5	chr17	39182277	39183454	117	rs12937940	39182422.0	0.0395
8290	KRTAP2-1	chr17	39203042	39203519	102	rs62624962	39211434.0	0.02852
8291	KRTAP2-2	chr17	39211001	39211463	113	rs62624962	39211434.0	0.02852
8292	KRTAP2-3	chr17	39215494	39216344	104	rs3813058	39222498.0	0.005757
8293	KRTAP2-4	chr17	39221368	39222131	83	rs3813058	39222498.0	0.005757
8294	KRTAP3-1	chr17	39164775	39165366	136	rs35981059	39163818.0	0.03898
8295	KRTAP3-2	chr17	39155446	39156138	193	rs35981059	39163818.0	0.03898
8296	KRTAP3-3	chr17	39149685	39150385	180	rs147744938	39149802.0	0.09272
8297	KRTAP4-1	chr17	39340353	39341594	102	rs144818587	39347770.0	0.04425
8298	KRTAP4-2	chr17	39333697	39334460	111	rs189634128	39337533.0	0.04855
8299	KRTAP4-3	chr17	39323483	39324424	69	rs112695017	39318063.0	0.05362
8300	KRTAP4-4	chr17	39315909	39316983	40	rs112695017	39318063.0	0.05362
8301	KRTAP4-5	chr17	39305177	39306054	53	rs62067286	39298996.0	0.01921
8302	KRTAP4-6	chr17	39295684	39296739	62	rs7213987	39285892.0	0.009584
8303	KRTAP4-7	chr17	39240458	39241396	168	rs7503667	39235053.0	0.002249
8304	KRTAP4-8	chr17	39253232	39254393	211	rs6416913	39254444.0	0.01433
8305	KRTAP4-9	chr17	39261583	39262740	193	rs9895326	39271371.0	0.007751
8306	KRTAP4-11	chr17	39273432	39274606	172	rs9895326	39271371.0	0.007751
8307	KRTAP4-12	chr17	39279342	39280419	132	rs9895326	39271371.0	0.007751
8308	KRTAP5-1	chr11	1605571	1606513	98	rs184712762	1602472.0	0.001061
8309	KRTAP5-2	chr11	1618408	1619524	81	rs6578554	1626718.0	0.006956
8310	KRTAP5-3	chr11	1628794	1629693	119	rs6578554	1626718.0	0.006956
8311	KRTAP5-4	chr11	1642187	1643368	171	rs118095021	1635446.0	0.03222
8312	KRTAP5-5	chr11	1651032	1652160	184	rs74904891	1652985.0	0.03341
8313	KRTAP5-6	chr11	1718424	1718985	115	rs16927507	1716749.0	0.055
8314	KRTAP5-7	chr11	71238312	71239210	80	rs12365630	71248389.0	0.01556
8315	KRTAP5-8	chr11	71249070	71250253	97	rs12365630	71248389.0	0.01556
8316	KRTAP5-9	chr11	71259465	71260653	99	rs72958391	71265701.0	0.01482
8317	KRTAP5-10	chr11	71276633	71279980	150	rs10898297	71271244.0	0.01916
8318	KRTAP5-11	chr11	71292900	71293921	100	rs185101393	71289997.0	0.04348
8319	KRTAP6-1	chr21	31985749	31986249	38	rs1507391	31988025.0	0.00953
8320	KRTAP6-2	chr21	31970908	31971219	41	rs198887	31962886.0	0.03488
8321	KRTAP6-3	chr21	31964758	31965394	41	rs198887	31962886.0	0.03488
8322	KRTAP8-1	chr21	32185015	32185570	73	rs8129944	32193855.0	0.01013
8323	KRTAP9-1	chr17	39346288	39346891	84	rs76357735	39353583.0	0.009138
8324	KRTAP9-2	chr17	39382906	39383431	56	rs142671147	39377915.0	0.008831
8325	KRTAP9-3	chr17	39388714	39389705	69	rs111459724	39379621.0	0.008989
8326	KRTAP9-4	chr17	39405938	39406904	76	rs12952568	39406002.0	0.01837
8327	KRTAP9-6	chr17	39421590	39422893	57	rs74974686	39414919.0	0.02688
8328	KRTAP9-7	chr17	39431910	39432949	63	rs16966596	39441797.0	0.02092
8329	KRTAP9-8	chr17	39394296	39395256	74	rs75371257	39393958.0	0.02144
8330	KRTAP9-9	chr17	39411635	39412616	71	rs12952568	39406002.0	0.01837
8331	KRTAP10-1	chr21	45958863	45960078	42	rs8131923	45970078.0	0.01092
8332	KRTAP10-2	chr21	45970317	45971388	81	rs233250	45975681.0	0.001221
8333	KRTAP10-3	chr21	45977672	45978643	93	rs233250	45975681.0	0.001221
8334	KRTAP10-4	chr21	45993605	45994987	112	rs75473696	45994842.0	0.03543
8335	KRTAP10-5	chr21	45999331	46000481	125	rs75473696	45994842.0	0.03543
8336	KRTAP10-6	chr21	46011148	46012386	133	rs464281	46005886.0	0.04026
8337	KRTAP10-8	chr21	46031995	46032871	78	rs138752361	46032838.0	0.04636
8338	KRTAP10-9	chr21	46047039	46048210	97	rs13051885	46044625.0	0.04281
8339	KRTAP10-10	chr21	46057272	46058370	103	rs2838597	46058688.0	0.01473
8340	KRTAP10-11	chr21	46066330	46067564	116	rs2838597	46058688.0	0.01473
8341	KRTAP10-12	chr21	46117086	46117959	131	rs2838644	46118557.0	0.009829
8342	KRTAP11-1	chr21	32252965	32253874	53	rs149835328	32254131.0	0.006047
8343	KRTAP12-1	chr21	46101490	46102078	180	rs8129089	46092107.0	0.01803
8344	KRTAP12-2	chr21	46086105	46086844	154	rs63164960	46086719.0	0.004233
8345	KRTAP12-3	chr21	46077848	46078258	113	rs63164960	46086719.0	0.004233
8346	KRTAP12-4	chr21	46074129	46074576	96	rs11088954	46065996.0	0.0266
8347	KRTAP13-1	chr21	31768391	31769136	40	rs187158170	31776086.0	0.01221
8348	KRTAP13-2	chr21	31743708	31744557	79	rs2186556	31753219.0	0.04561
8349	KRTAP13-3	chr21	31797582	31798286	56	rs7510277	31793175.0	0.04623
8350	KRTAP13-4	chr21	31802571	31803216	55	rs7510277	31793175.0	0.04623
8351	KRTAP15-1	chr21	31812596	31813070	62	rs2832880	31819229.0	0.01722
8352	KRTAP16-1	chr17	39463951	39465505	96	rs79837136	39457774.0	0.01507
8353	KRTAP17-1	chr17	39471172	39471947	88	chr17_39466604_I	39466604.0	0.01717
8354	KRTAP19-1	chr21	31852017	31852663	36	rs13045980	31854273.0	0.01535
8355	KRTAP19-2	chr21	31859361	31859755	35	rs2832915	31866180.0	0.01152
8356	KRTAP19-3	chr21	31863781	31864275	38	rs2832915	31866180.0	0.01152
8357	KRTAP19-4	chr21	31869141	31869451	32	rs2832915	31866180.0	0.01152
8358	KRTAP19-5	chr21	31873974	31874435	33	rs2832915	31866180.0	0.01152
8359	KRTAP19-6	chr21	31913853	31914183	45	rs12053663	31908858.0	0.0191
8360	KRTAP19-7	chr21	31933193	31933633	69	rs4816367	31926508.0	0.02321
8361	KRTAP19-8	chr21	32410477	32410795	32	rs1000927	32415963.0	0.0008641
8362	KRTAP20-1	chr21	31988749	31989003	40	rs13047208	31996687.0	0.008951
8363	KRTAP20-2	chr21	32007554	32007938	35	rs138172149	32007069.0	0.01443
8364	KRTAP20-3	chr21	32015182	32015455	35	rs13049155	32024148.0	0.01034
8365	KRTAP21-1	chr21	32127438	32127746	43	rs79525332	32121769.0	0.03106
8366	KRTAP21-2	chr21	32119111	32119551	63	rs79525332	32121769.0	0.03106
8367	KRTAP21-3	chr21	32090842	32091095	114	rs75131062	32097448.0	0.1002
8368	KRTAP22-1	chr21	31973413	31973612	45	rs1986096	31967447.0	0.03636
8369	KRTAP22-2	chr21	31962423	31962716	31	rs198887	31962886.0	0.03488
8370	KRTAP23-1	chr21	31720716	31720924	95	chr21_31726876_D	31726876.0	0.04574
8371	KRTAP24-1	chr21	31653628	31655276	81	rs9978205	31645683.0	0.0703
8372	KRTAP25-1	chr21	31661462	31661832	77	rs2832759	31661653.0	0.1262
8373	KRTAP26-1	chr21	31691451	31692607	155	rs142261814	31687678.0	0.01332
8374	KRTAP27-1	chr21	31709330	31710012	106	rs55674544	31708782.0	0.00764
8375	KRTAP29-1	chr17	39458077	39459103	93	rs12452919	39452188.0	0.008756
8376	KRTCAP2	chr1	155141945	155145733	45	rs4971100	155155731.0	0.02526
8377	KRTCAP3	chr2	27666318	27669346	30	chr2_27669365_I	27669365.0	0.0001733
8378	KRTDAP	chr19	35978227	35981433	73	rs11672060	35989286.0	0.003076
8379	KSR1	chr17	25948060	25950848	47	rs141718839	25944552.0	0.2131
8380	KSR2	chr12	117977276	117993034	97	rs7954678	117968055.0	0.01712
8381	KTI12	chr1	52497774	52499488	47	rs113910885	52494332.0	0.1363
8382	KTN1	chr14	56146380	56150971	80	rs72721591	56141768.0	0.006751
8383	KXD1	chr19	18672900	18679508	77	rs3803916	18669987.0	0.06124
8384	KY	chr3	134331801	134346845	104	rs74601883	134332150.0	0.02164
8385	KYAT1	chr9	131600553	131607687	51	rs2805099	131614082.0	1.924e-06
8386	KYAT3	chr1	89426849	89458636	116	rs144182058	89459821.0	0.01031
8387	KYNU	chr2	143676247	143715644	147	rs351684	143721253.0	0.01149
8388	L1CAM	chrX	153149318	153151615	53	rs4898456	153155214.0	0.04307
8389	L1TD1	chr1	62660502	62678000	315	chr1_62664839_D	62664839.0	0.02936
8390	L2HGDH	chr14	50768734	50778865	83	rs142159697	50784403.0	0.02864
8391	L3HYPDH	chr14	59945443	59951126	116	rs113284747	59955937.0	3.878e-06
8392	L3MBTL1	chr20	42168790	42176946	99	rs77508942	42185211.0	0.02544
8393	L3MBTL2	chr22	41605699	41617371	118	rs5758265	41617897.0	5.264e-09
8394	L3MBTL3	chr6	130391991	130413906	115	rs117248467	130408417.0	0.02131
8395	L3MBTL4	chr18	6356707	6367675	88	chr18_6365885_D	6365885.0	3.952e-05
8396	LACC1	chr13	44453968	44468068	167	chr13_44473977_I	44473977.0	7.224e-05
8397	LACRT	chr12	55025710	55028671	44	rs7976402	55036527.0	0.02457
8398	LACTB	chr15	63421557	63433545	121	rs2652823	63421110.0	0.001501
8399	LACTB2	chr8	71552807	71556363	94	rs2927519	71552966.0	0.06371
8400	LACTBL1	chr1	23279535	23291831	105	rs116359325	23294738.0	0.02232
8401	LAD1	chr1	201351813	201352701	92	rs10920188	201353670.0	0.0004848
8402	LAG3	chr12	6886615	6887621	41	rs67706382	6878190.0	0.004898
8403	LAGE3	chrX	153706107	153707596	50	chrX_153714027_D	153714027.0	0.0001034
8404	LAIR1	chr19	54879795	54880307	56	rs4614851	54874598.0	0.01772
8405	LAIR2	chr19	55014122	55021897	184	rs4806517	55013318.0	0.0006583
8406	LALBA	chr12	48961470	48963849	65	rs12582811	48961244.0	0.01994
8407	LAMA1	chr18	7038570	7040236	93	chr18_7038783_I	7038783.0	0.02447
8408	LAMA2	chr6	129811880	129813595	100	rs72978676	129815561.0	0.03158
8409	LAMA3	chr18	21529856	21534763	52	rs17203045	21540190.0	0.03672
8410	LAMA4	chr6	112574991	112575849	41	chr6_112583798_D	112583798.0	0.006025
8411	LAMA5	chr20	60921613	60927045	127	rs6143027	60915672.0	0.0003192
8412	LAMB1	chr7	107638875	107643605	59	rs77546626	107636883.0	0.03851
8413	LAMB2	chr3	49168397	49170489	20	rs6770112	49174006.0	0.03822
8414	LAMB3	chr1	209807791	209824739	150	rs4844863	209804095.0	0.01069
8415	LAMB4	chr7	107702841	107706303	46	rs6973739	107710599.0	0.007294
8416	LAMC1	chr1	183103824	183107040	141	rs180774920	183102138.0	0.01351
8417	LAMC2	chr1	183212568	183213041	47	rs41302129	183220862.0	0.006097
8418	LAMC3	chr9	133961211	133967430	114	rs4740413	133963101.0	0.0004675
8419	LAMP1	chr13	113976081	113976909	8	rs35152146	113982275.0	0.01476
